states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population,,,,,,,,,
PB,Faridkot,1,,1,,154,241,1,7,,,,,,7,7,,7,,3048,4201,7,,,,09/02/2020,,,618008,13927,315,13602,23635,330654,128653,15,,,,,,,,,
PB,Kapurthala,,,,,93,174,,8,,,,,,8,2,,7,,5387,6146,2,,,,09/02/2020,,,817668,17852,556,17294,38658,465285,187476,10,,,,,,,,,
PB,Mansa,,,,,128,166,,1,,,,,,1,,,1,,5340,4111,,,,,09/02/2020,,,768808,15606,380,15226,26878,372366,89830,1,,,,,,,,,
PB,Pathankot,6,,1,,52,278,6,14,,,,,,14,20,,7,,1762,6090,20,,,,09/02/2020,,,626154,18814,419,18373,29112,424889,196822,40,,,,,,,,,
PB,S.A.S. Nagar,3,,5,,95,425,3,27,,,,,,27,18,,21,,4914,9234,18,,,,09/02/2020,,,986147,68821,1068,67726,41532,872096,402212,48,,,,,,,,,
PB,Fazilka,1,,1,,249,177,1,6,,,,,,6,8,,4,,8408,5707,8,,,,12/10/2020,,,1180483,20271,528,19729,63589,490080,131519,15,,,,,,,,,
PB,Sri Muktsar Sahib,,,,,91,149,,,,,,,,,2,,,,3942,5830,2,,,,12/12/2020,,,902702,18784,524,18257,67979,473193,142901,2,,,,,,,,,
PB,Tarn Taran,,,,,251,127,,3,,,,,,3,,,3,,8846,8145,,,,,18-12-2020,,,1120070,8043,380,7659,111446,597303,178839,3,,,,,,,,,
PB,Sangrur,1,,1,,219,157,1,3,,,,,,3,3,,3,,13224,9058,3,,,,19-12-2020,,,1654408,15762,875,14884,166332,730511,218820,7,,,,,,,,,
PB,Barnala,,,,,629,291,,2,,,,,,2,2,,,,9552,5253,2,,,,20-12-2020,,,596294,5950,244,5696,63447,328464,104197,4,,,,,,,,,
PB,Bathinda,1,,,,110,182,1,10,,,,,,10,15,,8,,8246,6940,15,,,,20-12-2020,,,1388859,41728,1042,40668,118489,623604,202311,26,,,,,,,,,
PB,Fatehgarh Sahib,,,,,9,17,,2,,,,,,2,2,1,1,,2513,4804,2,,,,20-12-2020,,,599814,8876,335,8538,68436,354921,135247,4,,,,,,,,,
PB,Ferozepur,4,,3,,130,73,4,6,,,,,,6,13,,9,,4483,4723,13,,,,20-12-2020,,,2026831,14347,504,13832,74880,476343,128043,23,,,,,,,,,
PB,Gurdaspur,,,,,459,351,,1,,,,,,1,3,1,3,,18212,26825,3,,,,20-12-2020,,,2299026,22381,801,21576,249039,862133,415351,4,,,,,,,,,
PB,Hoshiarpur,2,1,2,,87,211,2,12,,,,,,12,10,2,12,,6567,17487,10,,,,20-12-2020,,,1582793,30822,986,29828,221261,1000636,574716,24,,,,,,,,,
PB,Jalandhar,1,,1,,167,507,1,14,,,,,,14,20,1,12,,13877,22309,20,,,,20-12-2020,,,2181753,63396,1496,61864,443735,1433553,681370,35,,,,,,,,,
PB,Ludhiana,,,4,,327,276,,15,,,,,,15,16,1,24,,41184,30055,16,,,,20-12-2020,,,3487882,87608,2106,85484,514691,2473646,943401,31,,,,,,,,,
PB,Moga,,,,,9,7,,2,,,,,,2,1,,8,,5076,6757,1,,,,20-12-2020,,,992289,8675,233,8440,77307,541556,178908,3,,,,,,,,,
PB,Patiala,,,2,,239,526,,12,,,,,,12,6,,15,,7659,10721,6,,,,20-12-2020,,,2892282,48927,1358,47561,273344,1051467,396473,18,,,,,,,,,
PB,Rupnagar,2,,3,,88,202,2,3,,,,,,3,20,,7,,1965,5708,20,,,,20-12-2020,,,683349,12963,423,12517,97745,384637,182919,25,,,,,,,,,
PB,Shahid Bhagat Singh Nagar,,,,,54,78,,3,,,,,,3,1,,1,,2473,4917,1,,,,20-12-2020,,,614362,11469,388,11080,77715,392113,172294,4,,,,,,,,,
PY,Karaikal,6,,9,,2,22,6,69,,,,,,69,53,,63,,763,2980,53,,,,27-01-2021,,,200222,16488,250,16150,73142,111152,57491,128,,,,,,,,,
PY,Mahe,10,,10,,,,10,44,,,,,,44,58,,46,,109,1003,58,,,,27-01-2021,,,41816,5867,47,5744,42415,34018,25943,112,,,,,,,,,
PY,Puducherry,22,,25,,159,477,22,218,,,,,,218,163,,202,,7191,15005,163,,,,27-01-2021,,,950289,98885,1453,97171,425639,558708,305464,403,,,,,,,,,
PY,Yanam,,,1,,8,31,,12,,,,,,12,4,,4,,259,1082,4,,,,27-01-2021,,,55626,6773,107,6661,26727,30079,15489,16,,,,,,,,,
RJ,Ajmer,,,,,110,1101,,5,,,,,,5,6,,8,,9133,56199,6,,,,02/01/2021,,,2584913,37769,410,37352,261215,1752308,1042482,11,,,,,,,,,
RJ,Alwar,,,,,376,1002,,,,,,,,,,,,,21681,29417,,,,,02/01/2021,,,3671999,59694,307,59387,291879,2237787,1029095,0,,,,,,,,,
RJ,Banswara,,,,,986,1105,,,,,,,,,,,,,10612,22206,,,,,02/01/2021,,,1798194,10005,104,9901,48781,1024293,525793,0,,,,,,,,,
RJ,Baran,,,,,44,212,,,,,,,,,1,,,,6599,15157,1,,,,02/01/2021,,,1223921,11996,61,11934,46168,763006,297741,1,,,,,,,,,
RJ,Barmer,,,,,64,247,,,,,,,,,1,,,,5670,16673,1,,,,02/01/2021,,,2604453,15563,185,15377,113868,1455732,621465,1,,,,,,,,,
RJ,Bharatpur,,,,,59,176,,,,,,,,,,,,,10069,22595,,,,,02/01/2021,,,2549121,19601,260,19341,201441,1351114,590401,0,,,,,,,,,
RJ,Bhilwara,,,,,161,1752,,,,,,,,,,,,,5405,26146,,,,,02/01/2021,,,2410459,29781,156,29625,148764,1525323,723691,0,,,,,,,,,
RJ,Bikaner,,,1,,76,275,,7,,,,,,7,2,,1,,6565,17712,2,,,,02/01/2021,,,2367745,40339,545,39792,278302,1461174,714590,9,,,,,,,,,
RJ,Bundi,,,,,424,1216,,,,,,,,,,,,,12488,24243,,,,,02/01/2021,,,1113725,7967,48,7919,58167,709316,362835,0,,,,,,,,,
RJ,Chittorgarh,,,,,21,43,,,,,,,,,,,,,6118,29167,,,,,02/01/2021,,,1544392,19809,139,19670,116002,978713,482350,0,,,,,,,,,
RJ,Churu,,,,,5,32,,,,,,,,,,,,,5483,26038,,,,,02/01/2021,,,2041172,16720,107,16613,131700,1301558,582443,0,,,,,,,,,
RJ,Dausa,,,,,182,1072,,,,,,,,,,,,,5627,29672,,,,,02/01/2021,,,1637226,13351,62,13289,61680,941513,395584,0,,,,,,,,,
RJ,Dholpur,,,1,,45,83,,1,,,,,,1,,,2,,4270,11868,,,,,02/01/2021,,,1207293,11010,48,10962,121308,660103,279501,1,,,,,,,,,
RJ,Dungarpur,,,,,90,246,,,,,,,,,,,,,6673,19241,,,,,02/01/2021,,,1388906,18407,131,18276,121917,737200,349762,0,,,,,,,,,
RJ,Ganganagar,,,,,749,1957,,,,,,,,,1,,,,11153,29478,1,,,,02/01/2021,,,1969520,19354,150,19203,80706,1278952,525137,1,,,,,,,,,
RJ,Hanumangarh,,,,,72,478,,,,,,,,,,,,,5057,30733,,,,,02/01/2021,,,1779650,16053,111,15942,82542,1230511,588688,0,,,,,,,,,
RJ,Jaipur,2,,,,570,1871,2,9,,,,,,9,16,,9,,24518,63582,16,,,,02/01/2021,,,6663971,187804,1970,185816,968783,4582410,2189042,27,,,,,,,,,
RJ,Jaisalmer,,,,,199,474,,,,,,,,,,,,,2951,9700,,,,,02/01/2021,,,672008,13639,66,13573,80082,416014,194163,0,,,,,,,,,
RJ,Jalore,,,,,309,738,,,,,,,,,,,,,9304,26896,,,,,02/01/2021,,,1830151,10067,72,9995,184172,987519,393953,0,,,,,,,,,
RJ,Jhalawar,,,,,359,2133,,1,,,,,,1,,,,,2527,16443,,,,,02/01/2021,,,1411327,13612,187,13425,97163,922646,363082,1,,,,,,,,,
RJ,Jhunjhunu,,,,,267,1682,,,,,,,,,,,,,7946,42099,,,,,02/01/2021,,,2139658,14811,158,14653,123433,1449967,787196,0,,,,,,,,,
RJ,Jodhpur,,,,,26,93,,2,,,,,,2,,,3,,7707,22507,,,,,02/01/2021,,,3685681,112412,1103,111308,600959,2263325,1036743,2,,,,,,,,,
RJ,Karauli,,,,,1578,993,,,,,,,,,,,,,19063,20813,,,,,02/01/2021,,,1458459,7156,70,7086,64481,813922,395700,0,,,,,,,,,
RJ,Kota,,,,,170,2306,,,,,,,,,,,,,2612,26626,,,,,02/01/2021,,,1950491,57053,449,56603,355509,1269245,655588,0,,,,,,,,,
RJ,Nagaur,,,,,636,3335,,,,,,,,,,,,,6806,36157,,,,,02/01/2021,,,3309234,17737,177,17560,229822,2077555,1016874,0,,,,,,,,,
RJ,Pali,,,,,704,3089,,1,,,,,,1,,,1,,7082,26853,,,,,02/01/2021,,,2038533,27324,287,27037,179463,1200554,513058,1,,,,,,,,,
RJ,Pratapgarh,,,,,39,298,,,,,,,,,,,,,1130,25717,,,,,02/01/2021,,,868231,7143,63,7080,52208,655140,345189,0,,,,,,,,,
RJ,Rajsamand,,,,,345,988,,,,,,,,,,,,,4092,14945,,,,,02/01/2021,,,1158283,17044,169,16875,91975,691497,299553,0,,,,,,,,,
RJ,Sawai Madhopur,,,,,268,844,,2,,,,,,2,,,2,,8475,18843,,,,,02/01/2021,,,1338114,10618,61,10557,84683,756544,347992,2,,,,,,,,,
RJ,Sikar,,,,,39,130,,,,,,,,,,,,,4520,20308,,,,,02/01/2021,,,2677737,30618,335,30283,165042,1838263,821713,0,,,,,,,,,
RJ,Sirohi,,,,,480,589,,,,,,,,,,,,,9007,15482,,,,,02/01/2021,,,1037185,13732,79,13653,84616,610090,348789,0,,,,,,,,,
RJ,Tonk,,,,,48,268,,,,,,,,,,,,,2623,16223,,,,,02/01/2021,,,1421711,9498,92,9406,74225,884688,419023,0,,,,,,,,,
RJ,Udaipur,,,,,1169,2727,,3,,,,,,3,,,,,16803,51655,,,,,02/01/2021,,,3067549,56405,753,55652,251522,1715072,854773,3,,,,,,,,,
RJ,BSF Camp,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2021,,,,85,,85,,,,0,,,,,,,,,
RJ,Evacuees,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2021,,,,61,,61,,,,0,,,,,,,,,
RJ,Italians,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2021,,,,2,,2,,,,0,,,,,,,,,
RJ,Other State,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2021,,,,189,39,150,,,,0,,,,,,,,,
SK,East Sikkim,,,,,,,,,,,,,,,,,,,528,10519,,,,,17/12/2020,,,281293,,,,,263526,229361,0,,,,,,,,,
SK,North Sikkim,,,,,,,,,,,,,,,,,,,23,447,,,,,24/12/2020,,,43354,,,,,33137,27820,0,,,,,,,,,
SK,South Sikkim,,,,,,,,,,,,,,,,,,,164,2223,,,,,31/12/2020,,,146742,,,,,121481,105432,0,,,,,,,,,
SK,Unknown,21,1,8,,,,21,82,,,,,,82,79,2,76,,,,79,,,,07/01/2021,,,,31979,396,31063,,,,182,,,,,,,,,
SK,West Sikkim,,,,,,,,,,,,,,,,,,,67,855,,,,,14/01/2021,,,136299,,,,,103619,88896,0,,,,,,,,,
TG,Adilabad,,,,,165,138,,,,,,,,,,,,,11894,12694,,,,,,,,708952,,,,,376263,89337,0,,,,,,,,,
TG,Bhadradri Kothagudem,,,,,1570,1314,,,,,,,,,,,,,30988,31905,,,,,,,,1304811,,,,,599183,204318,0,,,,,,,,,
TG,Hyderabad,,,,,3334,5427,,,,,,,,,,,,,48855,123025,,,,,,,,3441992,,,,,3150245,1893217,0,,,,,,,,,
TG,Jagtial,,,,,,,,,,,,,,,,,,,50253,17153,,,,,,,,983414,,,,,580926,190526,0,,,,,,,,,
TG,Jangaon,,,,,2637,363,,,,,,,,,,,,,20821,11508,,,,,,,,582457,,,,,327527,128207,0,,,,,,,,,
TG,Jayashankar Bhupalapally,,,,,125,262,,,,,,,,,,,,,4191,23712,,,,,,,,712257,,,,,262313,127108,0,,,,,,,,,
TG,Jogulamba Gadwal,,,,,496,253,,,,,,,,,,,,,23908,6281,,,,,,,,664971,,,,,306919,59886,0,,,,,,,,,
TG,Kamareddy,,,,,320,78,,,,,,,,,,,,,14692,16918,,,,,,,,972625,,,,,557684,183176,0,,,,,,,,,
TG,Karimnagar,,,,,65,486,,,,,,,,,,,,,12731,45384,,,,,,,,1016063,,,,,657167,384862,0,,,,,,,,,
TG,Khammam,,,,,789,1134,,,,,,,,,,,,,41893,68994,,,,,27/11/2020,,,1401639,,,,,856707,333812,0,,,,,,,,,
TG,Komaram Bheem,,,,,569,136,,,,,,,,,,,,,17465,4048,,,,,05/12/2020,,,515835,,,,,275644,51593,0,,,,,,,,,
TG,Mahabubabad,,,,,3715,1107,,,,,,,,,,,,,36700,27419,,,,,13/12/2020,,,1318110,,,,,468199,172007,0,,,,,,,,,
TG,Mahabubnagar,,,,,609,184,,,,,,,,,,,,,32811,19635,,,,,21/12/2020,,,,,,,,482547,150640,0,,,,,,,,,
TG,Mancherial,,,,,65,27,,,,,,,,,,,,,22489,15600,,,,,29/12/2020,,,807037,,,,,480069,170258,0,,,,,,,,,
TG,Medak,,,,,704,589,,,,,,,,,,,,,34422,25162,,,,,06/01/2021,,,767428,,,,,458648,140778,0,,,,,,,,,
TG,Medchal Malkajgiri,,,,,5804,8370,,,,,,,,,,,,,54568,93893,,,,,14/01/2021,,,2542203,,,,,2149958,1317832,0,,,,,,,,,
TG,Mulugu,,,,,71,85,,,,,,,,,,,,,4190,10660,,,,,22/01/2021,,,294671,,,,,186104,76648,0,,,,,,,,,
TG,Nagarkurnool,,,,,730,18,,,,,,,,,,,,,30265,5469,,,,,30/01/2021,,,893308,,,,,464888,106589,0,,,,,,,,,
TG,Nalgonda,,,,,859,448,,,,,,,,,,,,,105864,33747,,,,,07/02/2021,,,1631399,,,,,891308,254218,0,,,,,,,,,
TG,Narayanpet,,,,,585,48,,,,,,,,,,,,,14266,3428,,,,,15/02/2021,,,566874,,,,,288388,50219,0,,,,,,,,,
TG,Nirmal,,,,,744,255,,,,,,,,,,,,,16044,8396,,,,,23/02/2021,,,709415,,,,,378315,130107,0,,,,,,,,,
TG,Nizamabad,,,,,276,42,,,,,,,,,,,,,67852,21328,,,,,03/03/2021,,,1534428,,,,,858574,250862,0,,,,,,,,,
TG,Peddapalli,,,,,79,40,,,,,,,,,,,,,18954,19908,,,,,11/03/2021,,,795332,,,,,463510,201940,0,,,,,,,,,
TG,Rajanna Sircilla,,,,,10,100,,,,,,,,,,,,,7398,17056,,,,,19/03/2021,,,546121,,,,,372065,144680,0,,,,,,,,,
TG,Ranga Reddy,,,,,217,1168,,,,,,,,,,,,,76853,93482,,,,,27/03/2021,,,2551731,,,,,2348542,1291404,0,,,,,,,,,
TG,Sangareddy,,,,,7628,3083,,,,,,,,,,,,,77693,32539,,,,,04/04/2021,,,1527628,,,,,851395,299316,0,,,,,,,,,
TG,Siddipet,,,,,197,187,,,,,,,,,,,,,35164,25015,,,,,12/04/2021,,,993376,,,,,582450,242462,0,,,,,,,,,
TG,Suryapet,,,,,20,1,,,,,,,,,,,,,38975,24793,,,,,20/04/2021,,,1099560,,,,,610724,208278,0,,,,,,,,,
TG,Vikarabad,,,,,111,12,,,,,,,,,,,,,20014,5848,,,,,28/04/2021,,,881250,,,,,427669,87989,0,,,,,,,,,
TG,Wanaparthy,,,,,243,119,,,,,,,,,,,,,13905,10313,,,,,06/05/2021,,,751553,,,,,289412,81870,0,,,,,,,,,
TG,Warangal Rural,,,,,2416,1350,,,,,,,,,,,,,25045,13208,,,,,14/05/2021,,,716457,,,,,342881,105289,0,,,,,,,,,
TG,Warangal Urban,,,,,42,101,,,,,,,,,,,,,21854,63907,,,,,22/05/2021,,,1135707,,,,,687410,418947,0,,,,,,,,,
TG,Yadadri Bhuvanagiri,,,,,4429,739,,,,,,,,,,,,,38752,28567,,,,,30/05/2021,,,726465,,,,,463854,223506,0,,,,,,,,,
TN,Ariyalur,5,,3,,1127,3941,5,51,,,,,,51,35,1,44,,19203,29689,35,,,,23-07-2020,,,752481,16854,261,16548,18285,475390,157166,91,,,,,,,,,
TN,Chengalpattu,83,2,93,,3145,3415,83,658,,,,,,658,627,5,706,,26704,39438,627,,,,23-07-2020,,,2556244,171777,2506,168327,51771,1337641,604784,1368,,,,,,,,,
TN,Coimbatore,120,1,126,,770,2853,120,965,,,,,,965,869,15,988,,20971,79387,869,,,,23-07-2020,,,3472578,246780,2416,243070,102107,2717202,1205484,1954,,,,,,,,,
TN,Cuddalore,16,,18,,9299,22186,16,141,,,,,,141,129,,132,,51773,101735,129,,,,23-07-2020,,,2600880,64085,867,62997,36434,1529591,646400,286,,,,,,,,,
TN,Dindigul,9,,7,,321,1040,9,64,,,,,,64,58,1,51,,19630,57260,58,,,,23-07-2020,,,2161367,33099,645,32348,27800,1236504,493453,131,,,,,,,,,
TN,Erode,68,2,94,,244,899,68,549,,,,,,549,477,4,573,,16741,46724,477,,,,23-07-2020,,,2259608,104303,686,102836,66240,1370925,552624,1094,,,,,,,,,
TN,Kallakurichi,14,,23,,4089,7322,14,112,,,,,,112,66,,118,,22603,52087,66,,,,23-07-2020,,,1370281,31364,210,31056,28314,696213,299822,192,,,,,,,,,
TN,Kancheepuram,30,,37,,679,1040,30,237,,,,,,237,225,2,259,,13961,24360,225,,,,23-07-2020,,,1166401,74970,1258,73386,37505,663206,250181,492,,,,,,,,,
TN,Kanyakumari,17,,12,,431,1276,17,132,,,,,,132,120,,102,,17732,51185,120,,,,23-07-2020,,,1863178,62362,1048,61112,79600,1100888,450620,269,,,,,,,,,
TN,Karur,20,,16,,74,834,20,80,,,,,,80,136,1,90,,5882,32339,136,,,,23-07-2020,,,1076588,24091,356,23523,17190,626136,289120,236,,,,,,,,,
TN,Krishnagiri,16,,19,,404,1731,16,141,,,,,,141,134,1,160,,15883,37027,134,,,,23-07-2020,,,1883731,43570,348,43036,14284,1040491,407695,291,,,,,,,,,
TN,Madurai,13,,17,,1060,2012,13,132,,,,,,132,99,3,122,,26340,42498,99,,,,23-07-2020,,,3991038,75215,1172,73853,97279,1500331,583138,244,,,,,,,,,
TN,Nagapattinam,16,1,20,,273,953,16,145,,,,,,145,97,10,121,,8662,23176,97,,,,23-07-2020,,,1614069,21074,346,20561,20984,813495,289588,258,,,,,,,,,
TN,Namakkal,43,,51,,168,442,43,376,,,,,,376,315,2,397,,12694,28265,315,,,,23-07-2020,,,1721179,52245,498,51253,24758,987830,397079,734,,,,,,,,,
TN,Nilgiris,20,2,25,,71,1092,20,197,,,,,,197,124,3,220,,1613,31952,124,,,,23-07-2020,,,735071,33566,212,33164,45839,501986,343811,341,,,,,,,,,
TN,Perambalur,2,,5,,383,2161,2,24,,,,,,24,26,,27,,4307,17440,26,,,,23-07-2020,,,564511,12067,243,11790,7981,326872,136491,52,,,,,,,,,
TN,Pudukkottai,12,,8,,554,2862,12,95,,,,,,95,75,2,68,,10691,34202,75,,,,23-07-2020,,,1918725,30183,416,29627,20835,827320,314780,182,,,,,,,,,
TN,Ramanathapuram,3,,6,,852,2329,3,59,,,,,,59,25,,55,,9961,32447,25,,,,23-07-2020,,,1337560,20564,357,20158,23389,660673,280037,87,,,,,,,,,
TN,Ranipet,14,,14,,506,485,14,85,,,,,,85,69,2,73,,10793,13744,69,,,,23-07-2020,,,1210277,43436,775,42557,20118,557267,174051,168,,,,,,,,,
TN,Salem,62,1,67,,396,2125,62,395,,,,,,395,427,3,442,,25814,66134,427,,,,23-07-2020,,,3480008,99893,1685,97619,79660,1925084,791376,884,,,,,,,,,
TN,Sivaganga,13,,9,,195,564,13,75,,,,,,75,82,,78,,10170,31816,82,,,,23-07-2020,,,1341250,20195,206,19854,25824,726010,287468,170,,,,,,,,,
TN,Tenkasi,4,,4,,291,446,4,13,,,,,,13,25,,14,,16935,21454,25,,,,23-07-2020,,,1407627,27357,484,26834,26338,736882,233177,42,,,,,,,,,
TN,Thanjavur,37,,59,,12155,2378,37,426,,,,,,426,310,6,428,,49025,31228,310,,,,23-07-2020,,,2402781,75352,972,73874,67445,1224986,486660,773,,,,,,,,,
TN,Theni,1,1,5,,379,1536,1,30,,,,,,30,15,1,23,,11199,33309,15,,,,23-07-2020,,,1243684,43571,521,43018,45839,660187,304832,46,,,,,,,,,
TN,Thiruvallur,28,,55,,2328,4382,28,421,,,,,,421,252,3,396,,25332,47695,252,,,,23-07-2020,,,3725697,119370,1842,117138,67948,1425728,563426,701,,,,,,,,,
TN,Thiruvarur,23,2,22,,291,624,23,242,,,,,,242,170,5,253,,13453,29614,170,,,,23-07-2020,,,1268094,41461,442,40760,67445,630274,246969,435,,,,,,,,,
TN,Thoothukkudi,11,1,9,,11497,1612,11,105,,,,,,105,85,1,90,,46323,22453,85,,,,23-07-2020,,,1738376,56304,409,55757,49288,984706,328797,201,,,,,,,,,
TN,Tirunelveli,11,1,13,,940,627,11,115,,,,,,115,93,1,125,,22582,19904,93,,,,23-07-2020,,,1665253,49374,432,48812,54208,815687,275985,219,,,,,,,,,
TN,Tirupathur,10,,8,,311,525,10,61,,,,,,61,50,,66,,11111,24743,50,,,,23-07-2020,,,1111812,29301,625,28600,23998,541496,205219,121,,,,,,,,,
TN,Tiruppur,69,1,53,,133,443,69,556,,,,,,556,504,5,537,,20414,50762,504,,,,23-07-2020,,,2471222,95405,979,93683,36301,1671392,611015,1129,,,,,,,,,
TN,Tiruvannamalai,18,,28,,4455,10228,18,142,,,,,,142,120,,158,,31415,73235,120,,,,23-07-2020,,,2468965,54968,667,54122,76170,1270049,533376,280,,,,,,,,,
TN,Vellore,12,,15,,953,1825,12,119,,,,,,119,117,1,139,,18978,31716,117,,,,23-07-2020,,,1614242,49864,1131,48564,47936,763735,336366,248,,,,,,,,,
TN,Viluppuram,10,,11,,12953,11812,10,84,,,,,,84,79,1,83,,53748,67153,79,,,,23-07-2020,,,2093003,45857,356,45382,52064,1085842,444502,173,,,,,,,,,
TN,Virudhunagar,5,,8,,1007,3437,5,45,,,,,,45,38,,45,,16628,50467,38,,,,23-07-2020,,,1943309,46294,548,45687,28620,1072788,505098,88,,,,,,,,,
TN,Tiruchirappalli,37,,49,,2445,892,37,331,,,,,,331,302,5,334,,32150,48874,302,,,,08/07/2020,,,2713858,77534,1059,76038,92586,1468456,636356,670,,,,,,,,,
TN,Dharmapuri,16,,21,,811,1674,16,177,,,,,,177,110,1,161,,13388,27153,110,,,,22-12-2020,,,1502900,28425,274,27957,163803,770955,279901,303,,,,,,,,,
TN,Chennai,118,4,143,,4126,8535,118,1162,,,,,,1162,880,12,1093,,52515,124932,880,,,,02/01/2021,,,7100000,554672,8546,544701,2667777,4532809,2671294,2160,,,,,,,,,
TN,Airport Quarantine,,,,,,,,3,,,,,,3,1,,1,,,,1,,,,02/01/2021,,,,2113,2,2107,,,,4,,,,,,,,,
TN,Mayiladuthurai,3,,10,,,,3,82,,,,,,82,41,,80,,,,41,,,,02/01/2021,,,901000,23280,316,22878,,,,126,,,,,,,,,
TN,Railway Quarantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,,428,,,,0,,,,,,,,,
TR,Dhalai,,,,,5,531,,,,,,,,,1,,2,,264,11234,1,,,,02/02/2021,,,377988,7037,35,7000,61582,258334,164654,1,,,,,,,,,
TR,Gomati,,,,,,1,,3,,,,,,3,8,,3,,319,9611,8,,,,02/02/2021,,,436868,8134,74,8043,47437,279099,161408,11,,,,,,,,,
TR,Khowai,2,,,,,,2,1,,,,,,1,3,,,,373,5866,3,,,,02/02/2021,,,327391,4559,54,4500,24046,202148,111955,6,,,,,,,,,
TR,North Tripura,2,,,,,,2,8,,,,,,8,4,,8,,352,4099,4,,,,02/02/2021,,,415946,7250,34,7199,100931,283802,190594,14,,,,,,,,,
TR,Sipahijala,,,,,,9,,2,,,,,,2,8,,4,,451,10397,8,,,,02/02/2021,,,484233,6360,75,6273,53067,330932,211903,10,,,,,,,,,
TR,South Tripura,1,,,,,1,1,1,,,,,,1,4,,1,,267,5639,4,,,,02/02/2021,,,433737,10168,53,10104,83030,303987,209259,6,,,,,,,,,
TR,Unokoti,1,,,,,5,1,1,,,,,,1,4,,3,,762,10307,4,,,,02/02/2021,,,277335,8609,68,8530,34930,173390,101178,6,,,,,,,,,
TR,West Tripura,6,,2,,5,13,6,33,,,,,,33,55,,41,,1366,17141,55,,,,02/02/2021,,,917534,32351,420,31817,202939,676784,470030,94,,,,,,,,,
UP,Lalitpur,,,,,4,8,,,,,,,,,1,,,,8010,13539,1,,,,08/07/2020,,,1218002,12742,128,12613,21781,627553,143519,1,,,,,,,,,
UP,Jhansi,1,,,,14,14,1,,,,,,,,1,,,,10719,25914,1,,,,26-11-2020,,,2000755,36556,663,35892,312540,1132511,379818,2,,,,,,,,,
UP,Bulandshahr,,,,,2,46,,,,,,,,,,1,,,18195,42644,,,,,12/07/2020,,,3498507,20215,243,19972,269090,1647985,646236,0,,,,,,,,,
UP,Lucknow,,,,,10826,11083,,15,,,,,,15,10,,10,,69404,107763,10,,,,13-12-2020,,,4588455,238839,2651,236165,1237583,3106658,1488333,25,,,,,,,,,
UP,Azamgarh,,,,,1764,3111,,,,,,,,,2,,,,41754,63205,2,,,,27-12-2020,,,4616509,17906,228,17675,12474,2165409,643824,2,,,,,,,,,
UP,Hapur,,,,,127,307,,,,,,,,,,,2,,15823,21964,,,,,01/03/2021,,,1338211,12638,217,12421,299725,658863,254519,0,,,,,,,,,
UP,Auraiya,,,,,,,,1,,,,,,1,,,,,6878,16443,,,,,01/10/2021,,,1372287,10090,203,9887,107079,614711,180775,1,,,,,,,,,
UP,Banda,,,,,486,432,,,,,,,,,1,,,,38560,36938,1,,,,01/10/2021,,,1799541,10992,158,10832,303185,795903,236840,1,,,,,,,,,
UP,Chitrakoot,,,,,329,536,,,,,,,,,,,,,13007,16383,,,,,01/10/2021,,,990626,7110,79,7031,234060,447303,129157,0,,,,,,,,,
UP,Etawah,,,,,873,984,,,,,,,,,,,,,52312,35349,,,,,01/10/2021,,,1579160,13933,293,13640,297761,708258,253661,0,,,,,,,,,
UP,Farrukhabad,,,,,81,439,,,,,,,,,1,,,,15703,28433,1,,,,01/10/2021,,,1887577,10348,194,10153,231856,833824,229745,1,,,,,,,,,
UP,Fatehpur,,,,,53,168,,,,,,,,,1,,,,13675,42615,1,,,,01/10/2021,,,2632684,6814,139,6674,82928,1246314,410120,1,,,,,,,,,
UP,Hamirpur,,,,,3,,,,,,,,,,,,,,11985,14350,,,,,01/10/2021,,,1104021,5232,102,5130,240382,561456,185949,0,,,,,,,,,
UP,Jalaun,,,,,18,30,,2,,,,,,2,3,,,,14119,21614,3,,,,01/10/2021,,,1670718,11687,202,11482,221719,819651,251406,5,,,,,,,,,
UP,Kannauj,,,,,82,431,,2,,,,,,2,,,,,24440,44639,,,,,01/10/2021,,,1658005,9231,114,9115,124019,755119,257048,2,,,,,,,,,
UP,Kanpur Dehat,,,,,47,85,,,,,,,,,,,,,27985,38783,,,,,01/10/2021,,,1795092,6197,110,6087,344697,923661,290898,0,,,,,,,,,
UP,Kanpur Nagar,,,,,38,96,,,,,,,,,3,,1,,64788,66517,3,,,,01/10/2021,,,4572951,82933,1905,81024,685820,2251558,859280,3,,,,,,,,,
